Ground Truth, TAD
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 6450
6450, 1500.0
6450, 6450
6450, 6450
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 6450
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 6450
6450, 6450
6450, 6450
6450, 1500.0
6450, 6450
6450, 6450
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 6450
6450, 1500.0
6450, 6450
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 4000
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 4000
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 4000
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 4000
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 4000
6450, 6450
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 1500.0
6450, 6450
6450, 1500.0
6450, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 4000
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 1500.0
4000, 4000
4000, 1500.0
4000, 4000
4000, 1500.0
4000, 4000
4000, 1500.0
